VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,"2/1/2022, 1:06:58 AM","2/1/2022, 1:19:24 AM",1,5.4,1,N,138,252,1,17,1.75,0.5,3.9,0,0.3,23.45,0,1.25
1,"2/1/2022, 1:38:22 AM","2/1/2022, 1:55:55 AM",1,6.4,1,N,138,41,2,21,1.75,0.5,0,6.55,0.3,30.1,0,1.25
1,"2/1/2022, 1:03:20 AM","2/1/2022, 1:26:59 AM",1,12.5,1,N,138,200,2,35.5,1.75,0.5,0,6.55,0.3,44.6,0,1.25
2,"2/1/2022, 1:08:00 AM","2/1/2022, 1:28:05 AM",1,9.88,1,N,239,200,2,28,0.5,0.5,0,3,0.3,34.8,2.5,0
2,"2/1/2022, 1:06:48 AM","2/1/2022, 1:33:07 AM",1,12.16,1,N,138,125,1,35.5,0.5,0.5,8.11,0,0.3,48.66,2.5,1.25
1,"2/1/2022, 1:57:23 AM","2/1/2022, 2:07:31 AM",2,2.3,1,N,140,142,1,10,3,0.5,2.75,0,0.3,16.55,2.5,0
1,"2/1/2022, 1:34:17 AM","2/1/2022, 2:01:32 AM",1,7.5,1,N,140,36,1,25,3,0.5,5,0,0.3,33.8,2.5,0
2,"2/1/2022, 1:03:26 AM","2/1/2022, 1:07:30 AM",1,0.88,1,N,48,68,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5,0
2,"2/1/2022, 1:13:31 AM","2/1/2022, 1:31:41 AM",1,6.48,1,N,142,244,1,21,0.5,0.5,4.96,0,0.3,29.76,2.5,0
2,"2/1/2022, 1:52:11 AM","2/1/2022, 2:02:48 AM",1,3.29,1,N,238,116,1,12,0.5,0.5,2.66,0,0.3,15.96,0,0
2,"2/1/2022, 1:05:48 AM","2/1/2022, 1:28:22 AM",2,9.71,1,N,132,36,1,27.5,0.5,0.5,7.2,0,0.3,37.25,0,1.25
1,"2/1/2022, 1:57:53 AM","2/1/2022, 2:01:15 AM",0,0.7,1,Y,143,163,1,4.5,3.5,0.5,1.2,0,0.3,10,2.5,0
2,"2/1/2022, 1:10:11 AM","2/1/2022, 1:31:16 AM",1,16,1,N,132,80,1,42.5,0.5,0.5,8.76,0,0.3,53.81,0,1.25
2,"2/1/2022, 1:35:38 AM","2/1/2022, 2:04:36 AM",1,6.53,1,N,234,225,1,24.5,0.5,0.5,5.66,0,0.3,33.96,2.5,0
2,"2/1/2022, 1:23:16 AM","2/1/2022, 1:40:53 AM",1,11.77,1,N,138,132,1,32,0.5,0.5,6.66,0,0.3,41.21,0,1.25
2,"2/1/2022, 1:06:34 AM","2/1/2022, 1:12:21 AM",1,1.42,1,N,233,164,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0
2,"2/1/2022, 1:14:54 AM","2/1/2022, 1:30:20 AM",1,4.14,1,N,186,262,1,14.5,0.5,0.5,5.49,0,0.3,23.79,2.5,0
2,"2/1/2022, 1:26:17 AM","2/1/2022, 1:42:34 AM",1,7.66,1,N,138,170,1,23,0.5,0.5,6.67,6.55,0.3,41.27,2.5,1.25
2,"2/1/2022, 1:55:21 AM","2/1/2022, 2:03:50 AM",5,1.74,1,N,79,164,2,8,0.5,0.5,0,0,0.3,11.8,2.5,0
2,"2/1/2022, 1:13:51 AM","2/1/2022, 1:53:50 AM",1,11.28,1,N,132,225,2,37,0.5,0.5,0,0,0.3,39.55,0,1.25
1,"2/1/2022, 1:40:57 AM","2/1/2022, 1:47:01 AM",1,2.6,1,N,233,263,1,9,3,0.5,2.55,0,0.3,15.35,2.5,0
1,"2/1/2022, 1:29:35 AM","2/1/2022, 1:53:43 AM",1,17,2,N,132,164,1,52,3.75,0.5,12.6,6.55,0.3,75.7,2.5,1.25
1,"2/1/2022, 1:35:44 AM","2/1/2022, 2:04:35 AM",2,16.2,2,N,132,162,1,52,2.5,0.5,12.35,6.55,0.3,74.2,2.5,0
2,"2/1/2022, 1:18:25 AM","2/1/2022, 1:42:38 AM",1,15.25,1,N,132,252,1,41.5,0.5,0.5,13.22,0,0.3,57.27,0,1.25
2,"2/1/2022, 1:08:12 AM","2/1/2022, 1:35:58 AM",1,7.36,1,N,249,256,1,25.5,0.5,0.5,5.86,0,0.3,35.16,2.5,0
2,"2/1/2022, 1:50:53 AM","2/1/2022, 2:06:55 AM",1,3.23,1,N,107,48,1,13,0.5,0.5,4.2,0,0.3,21,2.5,0
2,"2/1/2022, 1:02:56 AM","2/1/2022, 1:12:52 AM",1,1.45,1,N,164,264,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5,0
2,"2/1/2022, 1:33:58 AM","2/1/2022, 1:40:56 AM",1,2.06,1,N,142,151,1,8,0.5,0.5,2,0,0.3,13.8,2.5,0
2,"2/1/2022, 1:47:11 AM","2/1/2022, 1:55:43 AM",1,1.86,1,N,151,116,1,8,0.5,0.5,0.7,0,0.3,10,0,0
2,"2/1/2022, 1:02:06 AM","2/1/2022, 1:10:46 AM",1,2.09,1,N,249,224,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5,0
2,"2/1/2022, 1:40:13 AM","2/1/2022, 1:45:48 AM",2,1.24,1,N,249,144,1,6,0.5,0.5,2,0,0.3,11.8,2.5,0
2,"2/1/2022, 1:19:46 AM","2/1/2022, 1:57:18 AM",1,20.26,2,N,132,238,1,52,0,0.5,10,6.55,0.3,70.6,0,1.25
2,"2/1/2022, 1:32:28 AM","2/1/2022, 2:02:22 AM",1,10.45,1,N,132,198,1,32,0.5,0.5,6.91,0,0.3,41.46,0,1.25
2,"2/1/2022, 1:04:49 AM","2/1/2022, 1:23:46 AM",1,11.37,1,N,263,171,1,31.5,0.5,0.5,8.37,6.55,0.3,50.22,2.5,0
1,"2/1/2022, 1:29:51 AM","2/1/2022, 2:01:55 AM",1,17.9,2,N,132,48,1,52,3.75,0.5,11.3,0,0.3,67.85,2.5,1.25
2,"2/1/2022, 1:35:34 AM","2/1/2022, 1:43:48 AM",1,1.45,1,N,249,148,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5,0
1,"2/1/2022, 1:12:17 AM","2/1/2022, 1:41:33 AM",0,19.2,2,N,132,262,1,52,3.75,0.5,15.75,6.55,0.3,78.85,2.5,1.25
1,"2/1/2022, 1:02:42 AM","2/1/2022, 1:30:16 AM",1,19.4,2,N,132,75,1,52,1.25,0.5,15.1,6.55,0.3,75.7,0,1.25
2,"2/1/2022, 1:24:27 AM","2/1/2022, 1:28:40 AM",3,1.73,1,N,229,236,1,6.5,0.5,0.5,2,0,0.3,12.3,2.5,0
2,"2/1/2022, 1:34:02 AM","2/1/2022, 1:37:07 AM",3,0.68,1,N,263,141,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5,0
2,"2/1/2022, 1:05:44 AM","2/1/2022, 1:09:09 AM",3,1.34,1,N,68,100,1,5.5,0.5,0.5,1,0,0.3,10.3,2.5,0
2,"2/1/2022, 1:21:52 AM","2/1/2022, 1:26:03 AM",2,0.68,1,N,68,48,1,5,0.5,0.5,4,0,0.3,12.8,2.5,0
2,"2/1/2022, 1:19:47 AM","2/1/2022, 1:31:18 AM",1,3.58,1,N,230,166,1,12.5,0.5,0.5,3.26,0,0.3,19.56,2.5,0
1,"2/1/2022, 1:26:21 AM","2/1/2022, 1:44:03 AM",1,3.4,1,N,237,79,1,14,3,0.5,2,0,0.3,19.8,2.5,0
2,"2/1/2022, 1:33:25 AM","2/1/2022, 1:39:13 AM",1,1.71,1,N,229,263,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5,0
